token	repeticiones	#docs
beugy	1	1
alegfontosabb	2	2
szomszedainkkal	2	2
kialakitott	3	3
ertelmezik	1	1
kerdesben	7	6
vana	1	1
csal	6	5
delvidek	1	1
lakossagcsere	1	1
szerbekkikoltozese	1	1
tersegbol	1	1
visszahelyeznek	1	1
fennhatosaga	1	1
vajdasag	3	2
vesziaz	1	1
iranyt	2	2
tartomany	1	1
osszetetele	2	2
modosul	3	3
felhivasat	1	1
lakossagnak	3	3
visszacsatolasavalbekesen	1	1
megoldhato	2	2
magyaruldozes	1	1
bekeslakossagcserevel	1	1
realber	4	3
teljesevre	1	1
eletszinvonalcsokkeneslesz	1	1
bruttoatlagkereset	1	1
haladta	3	3
azelozo	2	1
idoszakat	1	1
versenyszferaban	2	2
atlagkeresetekelertek	1	1
januari	3	3
atlagkereset	3	3
amegfigyelt	1	1
emelkedestjelent	1	1
szazalekkalnovekedett	1	1
falu	5	4
neves	4	3
szakemberek	6	5
forintostorzstokevel	1	1
megalakult	5	5
faluert	1	1
amelykatalizator	1	1
falusi	2	2
kezdemenyezesekfinanszirozasaban	1	1
jelentkezeset	2	2
papocsi	1	1
babolna	1	1
vezerigazgatojaelmondta	1	1
elosegiteni	1	1
falufennmaradasat	1	1
kozelmult	2	1
valtozasai	1	1
retegeterintettek	1	1
legkedvezotlenebbul	1	1
elseje	1	1
gyogyszer	2	2
rendeletnek	1	1
atervezetet	2	1
gyogyszerek	3	2
gyogyaszati	1	1
segedeszkozokartamogatasarol	1	1
elvilegmajusban	1	1
atlagosan	11	9
asegedeszkozoke	1	1
hitelminositese	2	2
javallott	1	1
hitelkepessegenek	1	1
economistintelligence	1	1
szazas	2	2
skalan	1	1
spekulativ	3	2
szamarajavallott	1	1
befektetes	2	2
esszeru	3	3
megfontolas	1	1
uzletekbe	1	1
invesztalnak	1	1
akkorkerulhet	1	1
minositest	2	2
hamegmutatkoznak	1	1
exodusa	1	1
nyilatkoztak	1	1
elmennek	2	2
azorszagbol	1	1
feketegazdasaggal	1	1
versenyezni	1	1
mondottabencze	1	1
gazdasagvedelmi	6	3
bizottsaganakelnoke	1	1
viszonyitott	3	3
kutatokszerint	1	1
elerte	8	5
kozpontinyomozohivatal	3	3
horderejugazdasagi	1	1
buncselekmenyeket	3	3
felderitse	1	1
valoszinuseggel	7	5
ivanelnok	1	1
azerttartottak	1	1
parancsnoksagameghozta	1	1
huszmilliardforintos	1	1
fogyasztasiado	1	1
birsagtartozasa	1	1
mintmar	1	1
felerecsokkent	1	1
vamhatosag	1	1
avetelytars	1	1
szakertojet	1	1
hogykiszamitsa	1	1
cege	3	3
erdeklodott	1	1
vallalattulajdonaban	1	1
ellenieljarasok	1	1
ertekesiteni	2	2
franka	3	3
azuma	1	1
kelltalalni	1	1
vevot	1	1
ipsosnak	1	1
gazdasagkutato	5	4
elvegzettfelmerese	1	1
aserteket	1	1
utoljara	7	6
oktobereben	1	1
szamottevoenjavult	1	1
gazdasagifolyamatoknak	1	1
legnagyob	1	1
jovorevonatkozo	1	1
varakozasok	1	1
javultak	1	1
elemzes	4	4
csomagbafoglalt	1	1
megszoritasokat	1	1
szempontjaboleredmenyesnek	1	1
ertekeltek	4	4
restriktiv	1	1
gazdasagpolitikamara	1	1
beert	1	1
felvalo	1	1
velemenyeket	4	3
azonnalilemondasat	1	1
katasztrofalis	9	6
csodhelyzeteben	1	1
felnott	3	3
kepuk	1	1
hazugsagokat	1	1
sztaline	1	1
rakosie	1	1
foglalkozott	5	4
alkotmanykoncepciojaval	1	1
ugyvivo	4	3
alkotmanyugyi	6	5
ujalkotmany	2	2
koncepcioja	2	2
hiszenmagyarorszagon	1	1
szeles	7	6
konszenzussalalkotmanytervezet	1	1
vitakra	3	3
elnokmegvalasztasanak	1	1
modjarol	2	2
esetlegesletrehozasarol	1	1
szdszhatarozottan	1	1
ahalalbuntetes	1	1
parlamentaltali	1	1
megvalasztasanak	1	1
ellenzekkelegyutt	1	1
alkotmanyozni	2	2
alkotmanykoncepciot	3	3
akoalicio	1	1
sikerenek	1	1
valasztojogitorveny	1	1
erobol	2	2
megvaltoztatjak	1	1
azalkotmanytervezetben	1	1
kitetelt	1	1
vegyesvalasztasi	1	1
ervenyben	6	4
ellenzekipartok	2	2
balsai	2	1
kidolgozottuj	1	1
alkotmanykoncepcio	16	4
hatparti	6	5
magaenak	2	2
vallja	3	3
tervezetben	1	1
aztkifogasolja	1	1
vitara	1	1
alkotmanyjavaslatot	1	1
beterjesztette	1	1
eddigitapasztalatok	1	1
torvenykerdeseben	1	1
fejezetben	1	1
szabalyozna	1	1
azellenzeknek	1	1
ugydonto	1	1
szanni	1	1
modositasterobol	1	1
vegrehajtani	5	4
hianyossagkentertekeli	1	1
rendszerrol	1	1
aztovabbra	1	1
tipusu	8	6
azalkotmanyozas	1	1
sikeret	2	1
veszelyeztetheti	2	2
formajabanelfogadhatatlan	1	1
allampolgarok	13	8
szocialises	1	1
ervenyesitheto	1	1
jogkentfogalmazza	1	1
gaspar	9	6
csutortokisajtotajekoztatojan	1	1
amegkozelites	1	1
alkotmanyokkal	1	1
anyilvanossagra	1	1
piacgazdasagotiranyozza	1	1
korszerutlen	1	1
liberalisalkotmanyokra	1	1
avalosagnak	1	1
konszenzussalszuletett	1	1
sorankikuszobolhetok	1	1
hibak	2	2
koaliciokampanycelbol	1	1
surgeti	3	3
akarjakkeresztulhajszolni	1	1
intezmenyes	3	3
aljashazugsag	1	1
meghirdetese	1	1
informacioszol	1	1
galat	1	1
felsorolja	2	2
ottlapon	1	1
hiranyag	1	1
irasakor	1	1
elszamolni	7	4
megalapozatlannak	1	1
azonallitasat	1	1
kabinettol	1	1
milliardforintos	2	1
kotelezettsegvallalast	5	4
vezetotestulete	1	1
felszolitja	1	1
gyulat	6	6
keszitsen	1	1
kimutatastaz	1	1
garanciavallalasokrol	1	1
eloterjesztesnek	2	2
istartalmaznia	1	1
kotelezettsegekethagyomanyoztak	1	1
kormanyzatokra	1	1
hetvenes	3	3
evektol	1	1
sarlatankodasnak	1	1
aparlementben	1	1
ketperces	3	2
viszontvalasz	1	1
garanciavallalas	2	2
tenyet	3	2
aztis	3	3
szamvevoszek	4	4
vizsgalja	6	5
akoltsegvetest	1	1
ader	1	1
fideszugyvezeto	1	1
asz	9	6
kimutatasa	1	1
kotelezettsegvallalasainak	1	1
ketharmadat	1	1
allampapirokkibocsatasa	1	1
eszkozzel	4	4
kabinetje	1	1
allampapirok	1	1
kibocsatasara	1	1
jelenteserehivatkozva	1	1
hivatali	8	6
potlasat	1	1
allampapirokosszerteke	1	1
haztol	1	1
kotelezze	1	1
gyulaminiszterelnokot	1	1
szamoljon	3	3
milliardoskormanyzati	1	1
partelnokcsutortoki	1	1
furcsallta	1	1
nemtajekoztatta	1	1
reszletesen	10	8
azorszaggyulest	1	1
kezdemenyeztek	1	1
erintettek	4	4
vonasat	1	1
milliardoskormanygaranciaja	1	1
akerdeskorre	1	1
belpolitikai	6	5
szuksegleteket	1	1
kijelentesnek	1	1
azallitolagos	1	1
kormanyhatarozatokkal	2	2
elrejtett	2	2
orszaggyulesikepviselo	1	1
nyiregyhazi	2	2
voltkulgazdasagi	1	1
bankkonszolidaciorakoltott	1	1
exporthitelnyujtas	1	1
osszeadasabol	1	1
szarmazhat	1	1
leggomberegetesnek	1	1
aminiszterelnokot	1	1
ugyanitt	4	4
ugyfogalmazott	1	1
kadarbelaehoz	1	1
kormanyvaltas	2	2
idoszakaban	4	4
jonehany	1	1
folyamatrol	1	1
informaciojuk	2	2
sulyossagaval	1	1
nemismertuk	1	1
nagysagrendeket	1	1
eldontotte	3	3
utolag	2	2
alkoholt	1	1
dohanytermekeketreklamozni	1	1
teveben	2	2
mozikban	1	1
areklamtorveny	1	1
koncepciojabol	1	1
cimzetttamogatasairol	1	1
egyedi	4	4
tamogatasarol	1	1
evidoszakahoz	1	1
nottek	2	2
aversenyszferaban	1	1
megallapodasnak	1	1
penzugyminisztereloterjesztese	1	1
rendeletet	2	2
gazdalkodoszervezetek	1	1
egyeditamogatasarol	1	1
keretbol	1	1
banyabezarasra	1	1
forditanak	3	3
borsodi	3	3
aceliparreorganizacios	1	1
kiadasain	1	1
diosgyori	3	2
acelmuvek	1	1
veszteseg	3	2
potlasara	1	1
letszamleepitesre	1	1
forintjut	1	1
mav	6	5
bevetelkiegeszitesere	1	1
letszam	3	2
racionalizalasraegymilliard	1	1
legfelso	4	4
bankjaban	1	1
hetekbenmegkezdtek	1	1
atvilagitasat	2	2
belakabinetfonok	1	1
felderitsek	1	1
magancegek	2	2
mnbvezetese	1	1
osszefonodasokat	2	2
ismertette	2	2
egyikkorlevelet	1	1
kajdi	4	2
miniszterelnoksegiallamtitkar	1	1
tajekoztatast	6	5
galszecsy	1	1
andrasnyugalmazott	1	1
bankbiztonsagi	1	1
felugyeletehez	1	1
veheti	2	2
aresztulajdonaban	1	1
biztonsagtechnikai	1	1
kozremukodeset	1	1
afkgp	1	1
osszeferhetetlenseg	12	3
egyszeres	1	1
mindenkorra	3	3
kuszobolni	1	1
politikabol	1	1
gazdasagbol	3	3
koltsegvetesitervenek	1	1
kitetele	1	1
milliosegyszeri	1	1
szamolt	5	4
atobbletkoltseg	1	1
felhasznaloja	1	1
agalszecsy	2	1
resztulajdonaban	1	1
nemallitja	1	1
milliot	7	6
vallalkozasnak	3	2
juttattak	5	4
safekft	1	1
reszesult	2	2
ugybol	1	1
kabinetfonok	2	2
hogykorabban	1	1
telefonbeszelgetes	1	1
probaltnyomast	1	1
pertol	1	1
galszecsyandras	1	1
jenek	3	3
milliotkaptak	1	1
ketseges	3	3
otbunozok	1	1
csocseleke	2	2
takaritast	1	1
kovetelimeg	1	1
demokratizmus	1	1
torvenyuk	1	1
alkotmanyuk	1	1
eltorlesevel	1	1
merenylet	2	2
szeghalmi	2	1
eiler	3	1
mertmarcius	1	1
elfureszeltek	1	1
wartburg	8	4
felszerelt	2	2
asmeretu	1	1
villajat	2	2
veszelyeztetve	1	1
varosatya	1	1
merenyletkiserlet	1	1
tetteseit	1	1
kozottkell	1	1
keresni	3	3
sertett	2	2
interpellacioja	1	1
helyionkormanyzat	1	1
megtetszett	1	1
vilaglapunk	1	1
elnevezese	1	1
utanzas	1	1
legmagasabbfoka	1	1
vilaglap	1	1
havilapja	1	1
astandokra	1	1
afrikaban	1	1
elomintegy	1	1
hatezer	2	1
eleterol	1	1
szervezeteirol	1	1
kassaikolto	1	1
sujto	2	2
torvenyek	9	7
tortenelmihatterenek	1	1
megrajzolasara	1	1
vallalkozik	1	1
irasaval	2	2
pedigmarton	1	1
puspokre	1	1
emlekezik	2	2
szerkesztojeantall	1	1
mvsz	2	2
delafrikai	1	1
magyarhelyett	1	1
ketmillios	4	3
volnakezdeni	1	1
masfelmillios	1	1
utobbiravonatkozoan	1	1
liberalisokszekertolojanak	1	1
atallt	1	1
ellenallasbautkozik	1	1
eszakamerikai	1	1
emigraciotol	1	1
nagypentek	1	1
krisztus	5	4
szenvedesere	1	1
emlekeznek	4	2
keseruseg	3	2
szomorusag	1	1
afeltamadasnak	1	1
remenysege	1	1
szomorusagahoz	1	1
illo	5	5
verset	2	2
olvasvan	1	1
jezus	3	2
emlekezunk	1	1
megmozdulasokban	1	1
halottainkat	2	1
halalra	10	6
higyjunk	1	1
magyarorszagunk	1	1
feltamadasaban	1	1
hetpecsetes	1	1
bekeokmany	1	1
sebteben	1	1
meghuzott	1	1
orszaghatar	1	1
vegeben	1	1
malnabokrok	1	1
lehullott	2	2
utcatabla	1	1
atkoltott	1	1
terkep	1	1
eldolt	1	1
szobor	3	3
anyanyelv	5	4
koltozott	1	1
suttogva	1	1
zold	9	6
zsalugaterek	1	1
bezart	3	3
odon	1	1
elhalt	1	1
kidolt	1	1
haranglab	1	1
emlekek	1	1
reszketve	1	1
eltek	8	7
hazsongard	1	1
bakabol	1	1
baca	1	1
elvegeztetett	1	1
torvenyesbol	1	1
anyakonyveink	1	1
szazadok	1	1
marta	1	1
lapjain	1	1
szegyenteljes	1	1
lecket	1	1
szabadito	1	1
mozest	1	1
varnank	1	1
feldult	1	1
temetofoldeink	1	1
karthago	1	1
irgalmas	1	1
nezd	2	2
multunkat	1	1
maguknak	8	6
ruttkay	1	1
arnoldausztralia	1	1
vers	4	4
ekezetekkel	1	1
webhttp	1	1
jtoth	2	2
ottlapjan	1	1
vajdasagi	7	3
magyaroknaka	1	1
rehak	7	1
marciusaszabadka	1	1
barataihoz	1	1
idegenbe	1	1
tavozott	1	1
vajdasagiakhoz	1	1
kozlemenyunkben	1	1
beszamoltunk	3	3
letargiarol	1	1
valamennyiunknek	1	1
ahazaban	1	1
jugoszlaviava	1	1
zsugorodott	2	2
szokatlanul	1	1
maltatlanszegenysegben	1	1
eleskamraja	1	1
gazdagon	1	1
termovajdasag	1	1
jomodban	1	1
nyugatias	1	1
szinvonalhoz	1	1
honfitarsainknem	1	1
szegyenkezve	1	1
meselnek	1	1
eletkorulmenyeinkrol	1	1
mindnyajunk	2	2
szeretnenk	4	2
felemelkedni	1	1
azokka	1	1
valni	2	2
akikvoltunk	1	1
kulhoni	5	4
anyaorszagi	1	1
tehetosebbek	1	1
orokre	4	4
eltavoztakkulfoldre	1	1
maradtunk	3	2
megkapaszkodni	1	1
akarjuklenditeni	1	1
szoruljunk	1	1
segitsegre	3	3
esmagunk	1	1
erejebol	1	1
kulturankat	1	1
iskolainkat	1	1
amuveszetet	1	1
alapkove	1	1
diakot	1	1
befogadodiakotthon	1	1
perem	1	1
szorvanyvidek	1	1
magyarjanakifjusaga	1	1
tanulna	1	1
anyanyelven	1	1
szabadkan	3	1
videkeken	2	2
vajdasagban	1	1
kozepiskola	2	1
azelemiiskolak	1	1
elemibe	1	1
iratjakgyermekeiket	1	1
tagozatra	2	2
kozepiskolaba	1	1
tudjanak	6	5
majdszerb	1	1
asszimilacio	1	1
megfelezteaz	1	1
szemelyiseg	6	6
felemelkedesevel	1	1
anyanyelvu	2	1
oktataskovetkezetes	1	1
ervenyesitesevel	2	2
ovodatol	1	1
egyetemig	1	1
munkassaganakemlekere	1	1
ozvegye	1	1
kertes	1	1
villajukat	1	1
diakotthonna	1	1
atalakitani	3	2
eleinte	3	3
nyujtana	5	4
kenyelmes	1	1
lakhelyet	1	1
tovabbepitesselnovelheto	1	1
fekszik	2	2
helyetadna	1	1
ovonokepzo	1	1
tanitokepzo	2	2
esmeg	1	1
foiskola	2	2
hallgatoinak	1	1
szorvanyvidekkozigazgatasi	1	1
szervezetei	3	3
hozzajarulnaak	1	1
munkalatokhoz	1	1
ahaboruzasban	1	1
menekult	1	1
eltartasaba	1	1
errenehany	1	1
tanitoink	1	1
tanaraink	1	1
kioregszenek	1	1
utanpotlas	1	1
bezarulnak	1	1
tanero	1	1
szerbnyelvuoktatoi	1	1
kader	1	1
vonulok	1	1
remekul	1	1
mukododiaksegelyezo	1	1
halozata	1	1
hozzajarulna	1	1
felneveledett	1	1
fiataltanero	1	1
iskolaztatasahoz	1	1
alapitvanyokhoz	1	1
fordulunk	1	1
baratokhoz	1	1
hazankbol	3	2
elvandorolt	1	1
honfitarsainkhoz	1	1
epitkezeshezes	1	1
berendezeshez	1	1
elsofazishoz	1	1
diakbeiskolaztatasat	1	1
iskolaev	1	1
diakra	1	1
koltseget	2	2
etkezes	1	1
mosas	1	1
takaritas	1	1
szemelyzet	1	1
aii	2	2
fazis	1	1
komolyabb	4	4
befektetest	1	1
tamogatora	1	1
talalunk	4	4
rendszeres	12	8
adomanyozokat	1	1
keresunk	1	1
mindentetelrol	1	1
tortenesrol	1	1
nevreszoloan	1	1
beszamolunk	1	1
elkeruljunkminden	1	1
gyanusitast	1	1
tevekenysegunkkel	1	1
nyilvantartastkeszitunk	1	1
komputerhez	1	1
kapcsolatot	11	7
szeretnenkfenntartani	1	1
jotevoinkkel	1	1
latogatasaikat	1	1
folyoszamlaink	1	1
dinar	1	1
folyoszamlank	1	1
laslo	1	1
jugoslavijaprva	1	1
preduzetnicka	1	1
banka	3	2
beograd	1	1
filijala	1	1
suboticadin	1	1
devizaszamlank	1	1
suboticapanonska	1	1
novi	1	1
devizni	1	1
konto	2	2
devizakuldemenyek	1	1
bankokban	1	1
fizethetok	1	1
austriacreditanstalt	1	1
bankverein	1	1
wien	8	6
ats	7	5
adria	1	1
nemetorszagdeutsche	1	1
gemeinvirtschaft	1	1
magyarorszagmagyar	1	1
svajcswiss	1	1
chf	1	1
usachemical	1	1
felsorolt	4	3
valamelyikenek	2	2
kirendeltsegeik	1	1
fiokbankjaik	1	1
adomanya	1	1
hazalatogat	1	1
jugoszlaviaba	1	1
baratok	6	4
isatvehetjuk	1	1
becses	1	1
kuldemenyuket	1	1
hogyvisszaigazoljuk	1	1
atvetelt	1	1
halas	1	1
koszonet	1	1
ozv	1	1
laszlone	1	1
elnokelevelcim	1	1
parcetic	1	1
subotica	1	1
jugoslavijatelefon	1	1
telefax	1	1
arpadffy	1	1
zamir	2	1
bg	6	2
ztn	2	1
vmsz	1	1
magyarorszagaprilis	1	1
mienk	8	6
hatalmon	3	2
partokhoz	3	2
velemenyt	4	3
formaloertelmiseg	1	1
szelsosegelleni	1	1
tamadasait	2	2
moralitas	1	1
parancsa	1	1
eserdekmegfontolasok	1	1
nemazert	1	1
olyat	4	4
amikorthurmer	1	1
tulsulya	1	1
egyhang	1	1
tiltakozast	1	1
hallottunk	1	1
titkosrendorseggelfolytatott	1	1
olyatkifogasoljak	1	1
mellol	2	2
felejtik	1	1
jelzot	3	3
hatasaalatt	1	1
papirt	3	3
atitkosrendorseggel	1	1
hetilapnak	2	2
hozzatartozojaval	1	1
interjubol	3	2
lelke	3	3
egyuttmukodott	2	2
kadari	4	3
remult	1	1
esdobbent	1	1
csend	4	4
eliteles	1	1
hallhato	1	1
esmegjosolhato	1	1
penzes	2	2
iscsurka	1	1
epiteton	1	1
ornanskent	1	1
hatarvonalat	1	1
tullepte	1	1
ategnapelotti	1	1
nepszavaban	1	1
barabas	1	1
izraelre	1	1
utalva	4	4
kollektiv	10	6
hatasos	5	3
mondatra	2	2
esez	1	1
irtavolna	1	1
abrit	1	1
eszakir	1	1
buntetest	1	1
kellenealkalmaznia	1	1
torvenytalkalmaznak	1	1
rokonszenvezok	1	1
amasik	1	1
ertelmisegenek	1	1
elhaborodasat	1	1
legnagyobbcinizmussal	1	1
szemlelik	1	1
pozicioikmegszilarditasara	1	1
penzszerzesre	1	1
hatasoseszkozok	1	1
egyikenek	3	3
fellelheto	3	3
nyilatkozataanyanyelvunk	1	1
elnyomasara	1	1
azalkotmany	1	1
polgartarsaink	1	1
birtokava	1	1
nyilvanitja	1	1
szulofoldunketakarja	1	1
teruletekkel	1	1
szetdarabolni	1	1
rovidesennapvilagot	1	1
tervezete	4	2
celjaelfeledtetni	1	1
gyermekeinkkel	1	1
muveltseget	1	1
atszervezesenektorvenytervezetevel	1	1
szembeneznunk	1	1
banfogalmazott	1	1
egyszerelutasitottuk	1	1
kepviseloink	3	2
polgarmestereink	1	1
esparlamenti	1	1
komaromban	1	1
megtartottnagygyulesen	1	1
ugyanott	3	3
megfogalmaztuk	1	1
hogyankepzeljuk	1	1
egyenjogu	1	1
ekomaromi	1	1
elhatarozasok	1	1
egyertelmuve	3	3
akarunkonrendelkezesi	1	1
jogunkkal	1	1
hatarain	1	1
helyionkormanyzatok	1	1
kartajaval	1	1
kimondtuk	1	1
hogyezen	1	1
keretek	2	2
igenyeinknek	1	1
biztositasa	2	2
afeltetele	1	1
tekinthessuk	1	1
atszervezesi	1	1
tervezetettamogatjak	1	1
buntetohadjaratot	1	1
inditottak	4	4
nemrendeli	1	1
egyeduralomnak	1	1
totalitarizmusnak	1	1
tervezetazonban	1	1
iranyul	7	4
hogylehetoleg	1	1
sehol	4	4
juthassunk	1	1
megtervezett	1	1
teruletekenolyan	1	1
altalunk	2	2
tobbsegben	1	1
lakott	3	3
midonthessunk	1	1
ugyeinkben	1	1
mindenuttleszavazhatok	1	1
elnyomhatok	1	1
lehessunk	1	1
aldozataiva	1	1
valjunk	1	1
arraemlekeztessenek	1	1
elutasitjuk	3	1
szulofoldunketonkenyesen	1	1
akaratunk	1	1
nelkulatszervezzek	1	1
megvonjak	1	1
onrendelkezesijogunkat	1	1
anemzetkozileg	1	1
jogainkat	1	1
onkormanyzas	1	1
sajatugyeinkben	1	1
lakoteruletunk	1	1
etnikaiosszetetelenek	1	1
megvaltoztatasanak	1	1
tilalmat	1	1
hasznalat	1	1
kozeletben	6	3
koalicionak	2	2
komaromi	3	2
nagygyulesen	3	3
elvek	9	6
szerintmegfogalmazott	1	1
tiszteletben	20	6
kozlekedesi	4	4
szempontokat	2	2
orszaglakossaga	1	1
szerves	8	7
emberbarat	1	1
kozigazgatasirendszerben	1	1
elhessen	1	1
teljesulhessen	2	2
mindannyiunkleghobb	1	1
bekeben	1	1
egyetertesben	2	2
eljunk	1	1
esszlovakok	1	1
kozottunk	3	3
partneri	1	1
viszony	11	8
bekeseszkozzel	1	1
szolitjuk	1	1
sorstarsainkat	1	1
velunkbekessegben	1	1
polgartarsainkat	1	1
eztajanljuk	1	1
figyelmebe	2	2
felelosekazert	1	1
sorsunkat	1	1
kozottalapveto	1	1
erdekeinknek	1	1
tamogatjuk	2	2
koveteljukonkormanyzati	1	1
foglaljuk	1	1
internacionalistabb	1	1
ugyrolszolo	1	1
cikksorozatunk	2	2
tenyeit	1	1
emlekeztetoul	2	2
legutobbifejezeteben	1	1
olvashattunk	1	1
ujsagcikkbol	1	1
nemesegyszeruseggel	1	1
simliseknek	1	1
olajosokat	2	2
fejezetenek	1	1
idozzunk	1	1
darabigennel	1	1
cikknel	1	1
erejeig	1	1
visszatervealaptortenetunkhoz	1	1
reszekbol	1	1
nyarara	3	2
esoidoszakaban	1	1
poziciojat	2	2
valotlanallitasokkal	1	1
feljavito	1	1
levelekkel	1	1
bombaztak	1	1
energetikaiminiszteriumot	1	1
magyarkoolajszallitasok	1	1
lebonyolitasaba	1	1
folosleges	2	2
koordinatori	1	1
pozicioelfoglalasaval	1	1
barterkereskedlem	1	1
kormanyzatipoziciobol	1	1
kieroszakolasaval	1	1
erdekeltsegeik	2	1
asajat	2	2
vonzaskorukbe	1	1
erdekeltsegek	1	1
allamilaggarantaljak	1	1
tervuk	1	1
olajszallito	1	1
mammutceg	1	1
jukosz	18	2
passzivellenallasa	1	1
eredmennyel	5	5
ulesszakanak	4	4
megindulasa	1	1
varatlandolog	1	1
napilapokra	1	1
isatterjedo	1	1
sajtokampany	1	1
indul	5	5
jukoszellen	1	1
biznisz	3	2
moszkovszkije	2	1
novosztyi	3	2
cikkiroja	1	1
kovette	2	2
mihail	2	2
jelfimov	1	1
vezettejukosz	1	1
delegacio	2	2
kovetkezoszakasza	1	1
olajszallitasokfelteteleirol	1	1
targyalasokra	1	1
ranyomta	1	1
belyeget	1	1
magyarsajtoban	1	1
kifejtett	2	2
elegedetlenseg	2	1
baratsag	4	2
koolajvezetekenerkezo	1	1
olaj	11	6
araval	1	1
hangotkapott	1	1
szemrehanyasok	1	1
kozeppontjaban	1	1
olajvallalatallitolagos	1	1
helytelen	1	1
arkepzesi	1	1
heccujsagirasde	1	1
volttakeppen	1	1
celoz	1	1
kampany	3	3
napilapbanindul	1	1
enmegbizhato	1	1
forrasra	1	1
tudatta	2	2
olvasoival	1	1
oroszokaddig	1	1
inditjak	1	1
szallitast	1	1
haviarmegallapodas	1	1
ismerosen	1	1
csegenekaz	1	1
zsarolo	1	1
azorosz	7	3
diktalja	2	2
kereskedelemben	1	1
szokasoskorabbi	1	1
informacioja	4	4
dragabban	2	2
koolajat	4	2
mintamennyiert	1	1
vezeteket	1	1
hasznalo	1	1
hozzajuthat	1	1
oroszszallitoktol	1	1
targyalasi	1	1
pozicioi	3	3
kialkudott	1	1
romlanak	2	2
tonnankent	1	1
dollarraldragabban	1	1
vasarol	1	1
jukosztol	2	2
szlovakolajvallalatok	1	1
partnereiktol	1	1
koolajszallitasok	3	2
koltsegei	2	2
fak	6	5
hataratol	1	1
olajfinomitokig	1	1
cshorszagba	1	1
lengyelorszagba	1	1
nemetorszagba	1	1
csovezeteken	2	1
kovetkezokepplatja	1	1
budapestne	1	1
oposz	1	1
energetikai	6	6
miniszteriumes	1	1
hosszutavuegyuttmokodesi	1	1
egyezmeny	6	3
megvalositasavalkapcsolatos	1	1
teendok	1	1
koordinalasaval	1	1
jukoszt	3	2
biztameg	1	1
olajszallitasok	2	2
helyzetobjektiv	1	1
ertekelesehez	1	1
tenyeihez	1	1
visszanyulni	1	1
igezeket	1	1
szallitasokat	1	1
szojuznyeftyexport	1	1
vegezte	3	3
monopoliumat	1	1
alaastak	1	1
piacon	7	5
megjelentkereskedok	1	1
olajvezetek	1	1
korlatozott	3	2
tokeletlenexportszabalyozas	1	1
konkurrenciaharc	1	1
kialakulasat	1	1
eredmenyezte	2	2
evallalatok	1	1
elsobbsegi	1	1
jogotkapjon	1	1
exportra	1	1
engedelyezett	1	1
mennyiseget	1	1
atpumpalni	1	1
megha	1	1
eredmemnyezte	1	1
akelet	2	1
jelentosen	12	9
vonatkoztatva	1	1
importorok	1	1
akovetkezo	1	1
csoterv	1	1
osszeallitasat	1	1
magyarkoolajipari	1	1
gazipari	1	1
troszt	1	1
mineralimpex	3	1
tevrhonapravett	1	1
exportjogat	1	1
csovezeteki	1	1
szallitasi	2	2
utemezeset	1	1
olajcegek	1	1
felosztotta	2	2
hirtelenkozolte	1	1
olajat	7	2
mindennektermeszetes	1	1
kovetkezmenyekepp	1	1
oprosz	1	1
olajvallalatok	2	1
exportarualaojukbtol	1	1
szabadulni	3	2
konkurrencia	1	1
sorraigertek	1	1
szojuznyeftexporttol	1	1
europia	1	1
alamok	1	1
importorei	1	1
arhoz	1	1
kepestmagasabb	1	1
aratjelentosen	1	1
leszoritottak	1	1
szojuznyeftexport	1	1
abrenthez	1	1
tobbert	1	1
szakertokszamitasai	1	1
haszna	1	1
idoszakbanmeghaladta	1	1
tveszteseggel	1	1
leszallitott	1	1
tonnakoolajat	1	1
termelok	4	3
lehettek	1	1
elegedettek	2	2
helyzettel	1	1
lukoil	3	3
szidanko	1	1
szlavneftykezdemenyeztek	1	1
arpolitika	1	1
juliusatolkoordinatorokat	1	1
exportpiacokra	1	1
jukosznak	4	2
szallitasok	1	1
vezeteken	2	2
dragababnkell	1	1
vasarolnia	1	1
csehorszagnak	2	2
vagyszlovakianak	1	1
szakertoinak	1	1
szamitasaimutatjak	1	1
finomitok	1	1
olcsobban	4	3
baratsagvezeteken	1	1
szomszedok	3	3
jottmentzsarolot	1	1
rablot	2	2
allitsak	3	3
igazsagtalan	4	3
jukoszazon	1	1
gazdasagbabefektettek	1	1
orion	10	7
mentettemeg	1	1
csodtol	1	1
megvasarolta	2	2
elonyos	10	4
koolajimport	1	1
tersegbeli	2	2
orszaghoz	2	2
szamitott	5	3
elony	4	3
arkedvezmenycsehorszag	1	1
ennyivel	2	1
adva	4	3
finomitoba	2	1
erve	4	3
mindn	1	1
orszagbanugyanannyi	1	1
olajar	2	2
finomitokban	1	1
valosago	1	1
arkedvezmeny	2	1
kulonbsege	1	1
nepszabadsagrahivatkozni	1	1
tablazatot	1	1
lekozoltek	1	1
nemlehetett	1	1
minisztereitpusztan	1	1
elhallgatasaval	1	1
primer	20	11
propagandaval	1	1
menteni	3	3
homalyos	2	2
celzasokkal	1	1
utaltak	2	2
partpolitikusi	1	1
korokhatterbeli	1	1
ugydodeseire	1	1
megjegyezzuk	1	1
kormanyvizsgalat	1	1
kapcsanmegallapitotta	1	1
voltszerencses	1	1
jelolese	1	1
otto	15	5
donthetettarrol	1	1
cegei	1	1
megrendelesek	2	2
kedvezotorlesztesu	1	1
